year,quarter,region,sector,total_funding_millions,deal_count,avg_round_size_millions,momentum_score,top_startup_example,stage_dominance
2010,1,USA,AI_ML,120,8,15,12,Google_DeepMind,Early-Stage
2010,2,USA,AI_ML,135,9,15,14,Google_DeepMind,Early-Stage
2010,3,USA,AI_ML,110,7,16,11,Google_DeepMind,Early-Stage
2010,4,USA,AI_ML,150,10,15,15,Google_DeepMind,Early-Stage
2011,1,USA,AI_ML,180,12,15,18,Google_DeepMind,Early-Stage
2011,2,USA,AI_ML,210,14,15,20,Google_DeepMind,Early-Stage
2011,3,USA,AI_ML,195,13,15,19,Google_DeepMind,Early-Stage
2011,4,USA,AI_ML,230,15,15,22,Google_DeepMind,Early-Stage
2012,1,USA,AI_ML,280,18,16,25,Google_DeepMind,Early-Stage
2012,2,USA,AI_ML,310,20,16,28,Google_DeepMind,Early-Stage
2012,3,USA,AI_ML,290,19,15,26,Google_DeepMind,Early-Stage
2012,4,USA,AI_ML,350,22,16,30,Google_DeepMind,Growth
2013,1,USA,AI_ML,420,25,17,35,Google_DeepMind,Growth
2013,2,USA,AI_ML,480,28,17,40,Google_DeepMind,Growth
2013,3,USA,AI_ML,450,27,17,38,Google_DeepMind,Growth
2013,4,USA,AI_ML,520,30,17,42,Google_DeepMind,Growth
2014,1,USA,AI_ML,680,35,19,50,Google_DeepMind,Growth
2014,2,USA,AI_ML,750,38,20,55,Google_DeepMind,Growth
2014,3,USA,AI_ML,720,36,20,52,Google_DeepMind,Growth
2014,4,USA,AI_ML,850,40,21,60,Google_DeepMind,Growth
2015,1,USA,AI_ML,1100,50,22,68,OpenAI,Growth
2015,2,USA,AI_ML,1250,55,23,72,OpenAI,Growth
2015,3,USA,AI_ML,1180,52,23,70,OpenAI,Growth
2015,4,USA,AI_ML,1400,60,23,75,OpenAI,Late-Stage
2016,1,USA,AI_ML,1600,65,25,78,OpenAI,Late-Stage
2016,2,USA,AI_ML,1800,70,26,80,OpenAI,Late-Stage
2016,3,USA,AI_ML,1700,68,25,79,OpenAI,Late-Stage
2016,4,USA,AI_ML,2000,75,27,82,OpenAI,Late-Stage
2017,1,USA,AI_ML,2200,80,28,84,OpenAI,Late-Stage
2017,2,USA,AI_ML,2500,85,29,86,OpenAI,Late-Stage
2017,3,USA,AI_ML,2400,82,29,85,OpenAI,Late-Stage
2017,4,USA,AI_ML,2800,90,31,88,OpenAI,Late-Stage
2018,1,USA,AI_ML,3200,95,34,89,OpenAI,Late-Stage
2018,2,USA,AI_ML,3500,100,35,90,OpenAI,Late-Stage
2018,3,USA,AI_ML,3300,98,34,89,OpenAI,Late-Stage
2018,4,USA,AI_ML,3800,105,36,91,OpenAI,Late-Stage
2019,1,USA,AI_ML,4000,110,36,92,OpenAI,Late-Stage
2019,2,USA,AI_ML,4200,115,37,93,OpenAI,Late-Stage
2019,3,USA,AI_ML,4100,112,37,92,OpenAI,Late-Stage
2019,4,USA,AI_ML,4500,118,38,94,OpenAI,Late-Stage
2020,1,USA,AI_ML,4800,120,40,94,OpenAI,Late-Stage
2020,2,USA,AI_ML,5100,125,41,95,OpenAI,Late-Stage
2020,3,USA,AI_ML,4900,122,40,94,OpenAI,Late-Stage
2020,4,USA,AI_ML,5500,130,42,96,OpenAI,Late-Stage
2021,1,USA,AI_ML,6000,140,43,97,OpenAI,Late-Stage
2021,2,USA,AI_ML,6800,150,45,98,OpenAI,Late-Stage
2021,3,USA,AI_ML,6500,145,45,97,OpenAI,Late-Stage
2021,4,USA,AI_ML,7200,155,46,98,OpenAI,Late-Stage
2022,1,USA,AI_ML,8000,160,50,99,OpenAI,Late-Stage
2022,2,USA,AI_ML,8500,165,52,99,OpenAI,Late-Stage
2022,3,USA,AI_ML,8200,162,51,99,OpenAI,Late-Stage
2022,4,USA,AI_ML,9000,170,53,100,OpenAI,Late-Stage
2023,1,USA,AI_ML,9500,175,54,100,OpenAI,Late-Stage
2023,2,USA,AI_ML,10000,180,56,100,OpenAI,Late-Stage
2023,3,USA,AI_ML,9800,178,55,100,OpenAI,Late-Stage
2023,4,USA,AI_ML,10500,185,57,100,OpenAI,Late-Stage
2024,1,USA,AI_ML,11000,190,58,100,OpenAI,Late-Stage
2024,2,USA,AI_ML,11500,195,59,100,OpenAI,Late-Stage
2024,3,USA,AI_ML,11200,192,58,100,OpenAI,Late-Stage
2024,4,USA,AI_ML,12000,200,60,100,OpenAI,Late-Stage
2025,1,USA,AI_ML,12500,205,61,100,OpenAI,Late-Stage
2025,2,USA,AI_ML,13000,210,62,100,OpenAI,Late-Stage
2025,3,USA,AI_ML,12800,208,62,100,OpenAI,Late-Stage
2025,4,USA,AI_ML,13500,215,63,100,OpenAI,Late-Stage
2026,1,USA,AI_ML,14000,220,64,100,OpenAI,Late-Stage
2026,2,USA,AI_ML,14500,225,64,100,OpenAI,Late-Stage
2026,3,USA,AI_ML,14200,222,64,100,OpenAI,Late-Stage
2026,4,USA,AI_ML,15000,230,65,100,OpenAI,Late-Stage
2027,1,USA,AI_ML,15500,235,66,100,OpenAI,Late-Stage
2027,2,USA,AI_ML,16000,240,67,100,OpenAI,Late-Stage
2027,3,USA,AI_ML,15800,238,66,100,OpenAI,Late-Stage
2027,4,USA,AI_ML,16500,245,67,100,OpenAI,Late-Stage
2010,1,China,AI_ML,50,4,13,8,Baidu_Research,Early-Stage
2010,2,China,AI_ML,55,5,11,9,Baidu_Research,Early-Stage
2010,3,China,AI_ML,45,4,11,7,Baidu_Research,Early-Stage
2010,4,China,AI_ML,60,5,12,10,Baidu_Research,Early-Stage
2011,1,China,AI_ML,70,6,12,11,Baidu_Research,Early-Stage
2011,2,China,AI_ML,80,7,11,12,Baidu_Research,Early-Stage
2011,3,China,AI_ML,75,6,13,11,Baidu_Research,Early-Stage
2011,4,China,AI_ML,90,8,11,14,Baidu_Research,Early-Stage
2012,1,China,AI_ML,100,10,10,15,Baidu_Research,Early-Stage
2012,2,China,AI_ML,110,11,10,16,Baidu_Research,Early-Stage
2012,3,China,AI_ML,105,10,11,15,Baidu_Research,Early-Stage
2012,4,China,AI_ML,120,12,10,18,Baidu_Research,Early-Stage
2013,1,China,AI_ML,140,14,10,20,Baidu_Research,Early-Stage
2013,2,China,AI_ML,160,16,10,22,Baidu_Research,Early-Stage
2013,3,China,AI_ML,150,15,10,21,Baidu_Research,Early-Stage
2013,4,China,AI_ML,180,18,10,25,Baidu_Research,Growth
2014,1,China,AI_ML,220,22,10,30,Baidu_Research,Growth
2014,2,China,AI_ML,250,25,10,32,Baidu_Research,Growth
2014,3,China,AI_ML,230,23,10,31,Baidu_Research,Growth
2014,4,China,AI_ML,280,28,10,35,Baidu_Research,Growth
2015,1,China,AI_ML,340,30,11,40,Baidu_Research,Growth
2015,2,China,AI_ML,380,33,12,42,Baidu_Research,Growth
2015,3,China,AI_ML,360,31,12,41,Baidu_Research,Growth
2015,4,China,AI_ML,420,35,12,45,Baidu_Research,Growth
2016,1,China,AI_ML,500,40,13,50,Baidu_Research,Growth
2016,2,China,AI_ML,560,44,13,55,Baidu_Research,Growth
2016,3,China,AI_ML,530,42,13,52,Baidu_Research,Growth
2016,4,China,AI_ML,620,48,13,58,Baidu_Research,Growth
2017,1,China,AI_ML,700,52,13,60,Baidu_Research,Growth
2017,2,China,AI_ML,780,56,14,62,Baidu_Research,Growth
2017,3,China,AI_ML,740,54,14,61,Baidu_Research,Growth
2017,4,China,AI_ML,850,60,14,65,Baidu_Research,Late-Stage
2018,1,China,AI_ML,1000,68,15,70,Baidu_Research,Late-Stage
2018,2,China,AI_ML,1200,74,16,75,Baidu_Research,Late-Stage
2018,3,China,AI_ML,1100,70,16,72,Baidu_Research,Late-Stage
2018,4,China,AI_ML,1400,80,18,78,Baidu_Research,Late-Stage
2019,1,China,AI_ML,1600,85,19,80,Baidu_Research,Late-Stage
2019,2,China,AI_ML,1800,90,20,82,Baidu_Research,Late-Stage
2019,3,China,AI_ML,1700,88,19,81,Baidu_Research,Late-Stage
2019,4,China,AI_ML,2000,95,21,85,Baidu_Research,Late-Stage
2020,1,China,AI_ML,2200,100,22,86,Baidu_Research,Late-Stage
2020,2,China,AI_ML,2400,105,23,88,Baidu_Research,Late-Stage
2020,3,China,AI_ML,2300,102,23,87,Baidu_Research,Late-Stage
2020,4,China,AI_ML,2600,110,24,89,Baidu_Research,Late-Stage
2021,1,China,AI_ML,3000,120,25,90,Baidu_Research,Late-Stage
2021,2,China,AI_ML,3500,130,27,92,Baidu_Research,Late-Stage
2021,3,China,AI_ML,3200,125,26,91,Baidu_Research,Late-Stage
2021,4,China,AI_ML,3800,135,28,93,Baidu_Research,Late-Stage
2022,1,China,AI_ML,4200,140,30,94,Baidu_Research,Late-Stage
2022,2,China,AI_ML,4600,145,32,95,Baidu_Research,Late-Stage
2022,3,China,AI_ML,4400,142,31,94,Baidu_Research,Late-Stage
2022,4,China,AI_ML,5000,150,33,96,Baidu_Research,Late-Stage
2023,1,China,AI_ML,5500,155,35,97,DeepSeek,Late-Stage
2023,2,China,AI_ML,6000,160,38,98,DeepSeek,Late-Stage
2023,3,China,AI_ML,5800,158,37,97,DeepSeek,Late-Stage
2023,4,China,AI_ML,6500,165,39,98,DeepSeek,Late-Stage
2024,1,China,AI_ML,7000,170,41,99,DeepSeek,Late-Stage
2024,2,China,AI_ML,7500,175,43,99,DeepSeek,Late-Stage
2024,3,China,AI_ML,7300,172,42,99,DeepSeek,Late-Stage
2024,4,China,AI_ML,8000,180,44,100,DeepSeek,Late-Stage
2025,1,China,AI_ML,8500,185,46,100,DeepSeek,Late-Stage
2025,2,China,AI_ML,9000,190,47,100,DeepSeek,Late-Stage
2025,3,China,AI_ML,8800,188,47,100,DeepSeek,Late-Stage
2025,4,China,AI_ML,9500,195,49,100,DeepSeek,Late-Stage
2026,1,China,AI_ML,10000,200,50,100,DeepSeek,Late-Stage
2026,2,China,AI_ML,10500,205,51,100,DeepSeek,Late-Stage
2026,3,China,AI_ML,10200,202,50,100,DeepSeek,Late-Stage
2026,4,China,AI_ML,11000,210,52,100,DeepSeek,Late-Stage
2027,1,China,AI_ML,11500,215,53,100,DeepSeek,Late-Stage
2027,2,China,AI_ML,12000,220,55,100,DeepSeek,Late-Stage
2027,3,China,AI_ML,11800,218,54,100,DeepSeek,Late-Stage
2027,4,China,AI_ML,12500,225,56,100,DeepSeek,Late-Stage
2010,1,India,AI_ML,10,2,5,2,TCS_Research,Early-Stage
2010,2,India,AI_ML,12,2,6,3,TCS_Research,Early-Stage
2010,3,India,AI_ML,8,1,8,2,TCS_Research,Early-Stage
2010,4,India,AI_ML,15,3,5,4,TCS_Research,Early-Stage
2011,1,India,AI_ML,18,3,6,5,TCS_Research,Early-Stage
2011,2,India,AI_ML,20,4,5,5,TCS_Research,Early-Stage
2011,3,India,AI_ML,16,3,5,4,TCS_Research,Early-Stage
2011,4,India,AI_ML,22,4,6,6,TCS_Research,Early-Stage
